date,total_rows,unique_hdds,total_failures
2014-01-01,27223,27223,3
2014-01-02,27223,27223,14
2014-01-03,27268,27268,4
2014-01-04,27223,27223,0
2014-01-05,27583,27583,0
2014-01-06,27583,27583,0
2014-01-07,27628,27628,14
2014-01-08,27628,27628,8
2014-01-09,27629,27629,7
2014-01-10,27585,27585,0
2014-01-11,27630,27630,0
2014-01-12,27720,27720,1
2014-01-13,27720,27720,1
2014-01-14,27720,27720,26
2014-01-15,27720,27720,10
2014-01-16,27720,27720,1
2014-01-17,27721,27721,7
2014-01-18,27767,27767,1
2014-01-19,27767,27767,0
2014-01-20,27767,27767,0
2014-01-21,27767,27767,15
2014-01-22,27677,27677,6
2014-01-23,27633,27633,10
2014-01-24,27587,27587,1
2014-01-25,27587,27587,3
2014-01-26,27541,27541,0
2014-01-27,27633,27633,1
2014-01-28,27633,27633,5
2014-01-29,27817,27817,18
2014-01-30,27818,27818,3
2014-01-31,27773,27773,14
2014-02-01,27865,27865,0
2014-02-02,27865,27865,0
2014-02-03,27865,27865,0
2014-02-04,27865,27865,1
2014-02-05,28141,28141,3
2014-02-06,28188,28188,0
2014-02-07,28234,28234,11
2014-02-08,28924,28924,1
2014-02-09,28743,28743,0
2014-02-10,28743,28743,0
2014-02-11,28835,28835,9
2014-02-12,28881,28881,17
2014-02-13,28836,28836,2
2014-02-14,29433,29433,1
2014-02-15,29524,29524,2
2014-02-16,29523,29523,0
2014-02-17,29522,29522,0
2014-02-18,29520,29520,4
2014-02-19,29524,29524,0
2014-02-20,29478,29478,9
2014-02-21,29431,29431,11
2014-02-22,29522,29522,0
2014-02-23,29522,29522,3
2014-02-24,29519,29519,1
2014-02-25,29567,29567,3
2014-02-26,30024,30024,10
2014-02-27,30026,30026,6
2014-02-28,30025,30025,6
2014-03-01,30030,30030,1
2014-03-02,30028,30028,5
2014-03-03,30025,30025,3
2014-03-04,30020,30020,0
2014-03-05,30021,30021,4
2014-03-06,30070,30070,9
2014-03-07,30113,30113,5
2014-03-08,30490,30490,3
2014-03-09,30487,30487,3
2014-03-10,30439,30439,1
2014-03-11,30485,30485,13
2014-03-12,30536,30536,3
2014-03-13,30675,30675,1
2014-03-14,30765,30765,11
2014-03-15,30767,30767,3
2014-03-16,30763,30763,0
2014-03-17,30759,30759,4
2014-03-18,30673,30673,25
2014-03-19,30531,30531,10
2014-03-20,30539,30539,2
2014-03-21,30583,30583,10
2014-03-22,30768,30768,1
2014-03-23,30674,30674,3
2014-03-24,30646,30646,6
2014-03-25,30714,30714,16
2014-03-26,30722,30722,1
2014-03-27,30907,30907,13
2014-03-28,31089,31089,2
2014-03-29,31408,31408,0
2014-03-30,31406,31406,1
2014-03-31,31404,31404,2
2014-04-01,31400,31400,23
2014-04-02,31408,31408,1
2014-04-03,31411,31411,2
2014-04-04,31830,31830,3
2014-04-05,31919,31919,2
2014-04-06,31915,31915,1
2014-04-07,31866,31866,3
2014-04-08,31864,31864,12
2014-04-09,31961,31961,11
2014-04-10,31921,31921,3
2014-04-11,31916,31916,4
2014-04-12,31966,31966,0
2014-04-13,31966,31966,0
2014-04-14,31965,31965,4
2014-04-15,31871,31871,3
2014-04-16,31874,31874,18
2014-04-17,31828,31828,7
2014-04-18,31830,31830,13
2014-04-19,32288,32288,4
2014-04-20,32236,32236,6
2014-04-21,32232,32232,2
2014-04-22,32280,32280,11
2014-04-23,32332,32332,4
2014-04-24,32424,32424,6
2014-04-25,32470,32470,1
2014-04-26,32564,32564,1
2014-04-27,32563,32563,1
2014-04-28,32561,32561,2
2014-04-29,32558,32558,2
2014-04-30,32515,32515,3
2014-05-01,32885,32885,5
2014-05-02,32888,32888,3
2014-05-03,33026,33026,0
