day_minus_0,day_minus_1,day_minus_2,day_minus_7,feature
0.2545213,0.25877395,0.22766386,0.22439724,smart_187_normalized
0.18285418,0.1968933,0.17128661,0.16967086,smart_187_raw
0.114095464,0.11481775,0.13264474,0.11282566,smart_198_raw
0.10965733,0.11924611,0.12883006,0.12268857,smart_197_raw
0.061459646,0.07755253,0.09332032,0.105298646,smart_5_raw
0.05376448,0.030635362,0.0,0.0,smart_198_normalized
0.032568093,0.010710008,0.023389501,0.00212812,smart_197_normalized
0.02827142,0.017424839,0.022750465,0.018562093,smart_5_normalized
0.009761601,0.0099003045,0.014113647,0.022123406,model
0.008827271,0.009508305,0.011141322,0.0128953615,smart_241_raw
0.008720996,0.009506034,0.010597108,0.013727101,smart_240_raw
0.008692013,0.007567419,0.008401737,0.00933759,smart_188_raw
0.008508472,0.008249092,0.010777147,0.010861274,smart_199_raw
0.008451909,0.012104926,0.01180301,0.021190735,capacity_bytes
0.0077514388,0.008046132,0.010097571,0.010114011,smart_242_raw
0.0073998747,0.008214355,0.0091407625,0.010453271,smart_193_raw
0.0072266236,0.0074598156,0.008980359,0.0101496875,smart_9_raw
0.007154138,0.009035154,0.009400862,0.010512489,smart_192_raw
0.006953196,0.0070863073,0.008383728,0.00996944,smart_12_raw
0.006643207,0.007109755,0.008335849,0.009805687,smart_193_normalized
0.0062789544,0.006141638,0.008190176,0.00949616,smart_194_raw
0.0062260316,0.006040808,0.0071821357,0.009584538,smart_194_normalized
0.006141854,0.00666248,0.007911415,0.008194143,smart_7_raw
0.006114406,0.006174607,0.007053794,0.008645145,smart_9_normalized
0.0060027293,0.0065897214,0.0072398474,0.008113806,smart_4_raw
0.0058661895,0.0062114564,0.007457657,0.008536771,smart_3_normalized
0.005741348,0.0056227352,0.0069195502,0.008441444,smart_190_raw
0.005602458,0.006298423,0.007563216,0.007767611,smart_1_normalized
0.005244987,0.0056871306,0.0070900675,0.008734575,smart_190_normalized
0.0045465413,0.0051845657,0.0061556334,0.007102543,smart_1_raw
0.004486433,0.005321461,0.006177869,0.006906538,smart_7_normalized
0.004465341,0.004223512,0.0,0.0,smart_3_raw
0.0,0.0,0.0,0.0,smart_241_normalized
0.0,0.0,0.0,0.0,smart_242_normalized
0.0,0.0,0.0,0.0,smart_10_normalized
0.0,0.0,0.0,0.0017655053,smart_4_normalized
0.0,0.0,0.0,0.0,smart_199_normalized
0.0,0.0,0.0,0.0,smart_240_normalized
0.0,0.0,0.0,0.0,smart_192_normalized
0.0,0.0,0.0,0.0,smart_188_normalized
0.0,0.0,0.0,0.0,smart_12_normalized
0.0,0.0,0.0,0.0,smart_10_raw
