index,day_minus_0,day_minus_1,day_minus_2,day_minus_7
smart_187_raw,0.1804659789346455,0.15783158236023723,0.14398032235796807,0.13051440339655
smart_187_normalized,0.16018636299830732,0.1437044251057398,0.1433436025578638,0.13095308966786115
smart_5_raw,0.13285876410299918,0.14400498843439355,0.14841870182730493,0.14641168050432318
smart_197_raw,0.10520036720645494,0.09929641278865256,0.0908734631968044,0.07606242474445686
smart_198_raw,0.08346785812285473,0.08171590777319138,0.07877575197153736,0.06503733095936531
smart_5_normalized,0.033288181427506586,0.025676693749320228,0.023004827668922055,0.022803224680685512
smart_241_raw,0.024554453597153737,0.029175358774705,0.03348496716930097,0.038271364981188334
smart_9_raw,0.020332008147264068,0.021937178091903837,0.025378735999246206,0.029580234420922596
smart_242_raw,0.020051232008021197,0.02328668484350267,0.02527053493441221,0.028964641750111764
smart_193_raw,0.020050969049912524,0.024141705959926516,0.02407973997318297,0.030249763276572493
smart_240_raw,0.019709569232099287,0.023558175714278613,0.025570514316927254,0.031184630699993308
smart_7_raw,0.017660215211736646,0.020744270275060376,0.02202232623497711,0.02435194277971082
smart_192_raw,0.015566513122567257,0.02236216538039002,0.02169871032960672,0.024086858927851108
smart_1_normalized,0.014915913258085904,0.01561403674346162,0.01755491307739421,0.01640652317276865
smart_9_normalized,0.013298068962827345,0.014280539508637911,0.016511359984044446,0.01948857310932127
smart_4_raw,0.01282182219533578,0.01522569821164013,0.01502748696069639,0.01754986163072947
smart_1_raw,0.012550555180956926,0.015269015432178326,0.01703781424653272,0.020661347238399047
smart_12_raw,0.011894874375596222,0.014250679219794333,0.014896979896530877,0.017869235831754374
smart_193_normalized,0.01104239269622893,0.013881017828387106,0.013661444869313625,0.017027436716236105
smart_188_raw,0.009374378287292857,0.008541969261536332,0.008289193671405203,0.0072770450366414
smart_194_raw,0.009027853925104317,0.009672697668094633,0.010798279576429134,0.013776045344832408
smart_7_normalized,0.00889831884949545,0.010909986882791186,0.011147972498820843,0.013459887664670064
smart_198_normalized,0.00864759737011011,0.005729971160591117,0.004326003535703404,0.0025408132378114375
smart_190_raw,0.00832438057934757,0.009171653794213594,0.010633016626889343,0.01288837743344325
smart_194_normalized,0.007915641967862357,0.00948076001587059,0.010443967298128793,0.01347072966160189
smart_190_normalized,0.007889993609364893,0.009244391380308076,0.010545507660563037,0.013245795828598762
smart_197_normalized,0.007140374069746539,0.005753325563857939,0.004066231973233709,0.002682217823199931
smart_3_normalized,0.006809695188618009,0.008657272493665701,0.00903659165190446,0.011061193825186368
model,0.006794317380368538,0.007872639249084028,0.009747121650595563,0.011861194120697225
smart_199_raw,0.005296021153481649,0.004269325372671916,0.004969454877845399,0.004299519920767668
capacity_bytes,0.003834503368343925,0.004683487168866777,0.005320314248735193,0.005916752034347534
smart_4_normalized,6.16602488784824e-05,4.474201073583234e-05,6.593347246456241e-05,3.904486419127934e-05
smart_188_normalized,3.918080802018988e-05,6.511332216651401e-06,1.8240761236315208e-07,2.6200926375272867e-07
smart_192_normalized,1.411658585771396e-05,4.730450094436549e-06,1.1806830370259135e-05,6.552705945712351e-06
smart_240_normalized,1.1747702475583213e-05,0.0,0.0,0.0
smart_3_raw,4.1190750777276625e-06,0.0,0.0,0.0
smart_12_normalized,0.0,0.0,0.0,0.0
smart_199_normalized,0.0,0.0,0.0,0.0
smart_10_raw,0.0,0.0,0.0,0.0
smart_10_normalized,0.0,0.0,6.224446732522535e-06,0.0
smart_241_normalized,0.0,0.0,0.0,0.0
smart_242_normalized,0.0,0.0,0.0,0.0
