rank_test_score,mean_test_score,std_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
1,0.8514203916257573,0.005574805819937508,entropy,10,8,32
2,0.8506895790167596,0.004479532600092684,entropy,10,8,2
2,0.8506895790167596,0.004479532600092684,entropy,10,8,4
2,0.8506895790167596,0.004479532600092684,entropy,10,8,8
2,0.8506895790167596,0.004479532600092684,entropy,10,8,16
6,0.8505525510005549,0.006714357661064676,entropy,10,16,4
6,0.8505525510005549,0.006714357661064676,entropy,10,16,16
6,0.8505525510005549,0.006714357661064676,entropy,10,16,8
6,0.8505525510005549,0.006714357661064676,entropy,10,16,2
6,0.8505525510005549,0.006714357661064676,entropy,10,16,32
11,0.8504156481717271,0.006718457651500574,gini,10,8,32
12,0.8504155960103201,0.006344391171325881,gini,10,16,4
12,0.8504155960103201,0.006344391171325881,gini,10,16,2
12,0.8504155960103201,0.006344391171325881,gini,10,16,16
12,0.8504155960103201,0.006344391171325881,gini,10,16,32
12,0.8504155960103201,0.006344391171325881,gini,10,16,8
17,0.8504153769324105,0.004557863611419799,gini,5,16,64
18,0.850324115334713,0.006822132635856965,entropy,10,8,64
19,0.8502783384839245,0.004694998744312379,gini,5,4,64
20,0.8502326868205129,0.004642379256405148,gini,5,2,32
21,0.8502326659559503,0.0047188609987460954,gini,5,2,64
21,0.8502326659559503,0.0047188609987460954,gini,5,1,64
23,0.8501870142925385,0.004809161870894766,gini,5,4,4
23,0.8501870142925385,0.004809161870894766,gini,5,4,2
23,0.8501870142925385,0.004568936386509162,gini,5,4,32
23,0.8501870142925385,0.004809161870894766,gini,5,4,16
23,0.8501870142925385,0.004568936386509162,gini,5,1,32
23,0.8501870142925385,0.004809161870894766,gini,5,4,8
29,0.8501870142925384,0.0048609333522735745,gini,5,1,16
30,0.8501869829956943,0.004775394100076587,gini,5,8,64
31,0.8501413521968454,0.004655340883420241,gini,5,2,4
31,0.8501413521968454,0.004655340883420241,gini,5,1,2
31,0.8501413521968454,0.004655340883420241,gini,5,2,2
31,0.8501413521968454,0.004655340883420241,gini,5,1,4
35,0.8500956692365896,0.0047073184801042466,gini,5,2,8
35,0.8500956692365896,0.0047073184801042466,gini,5,2,16
35,0.8500956692365896,0.0047073184801042466,gini,5,1,8
38,0.8500500071408966,0.004461165068873481,entropy,5,16,64
39,0.8500499967086151,0.004610989910720969,gini,5,16,2
39,0.8500499967086151,0.004610989910720969,gini,5,16,32
39,0.8500499967086151,0.004610989910720969,gini,5,16,8
39,0.8500499967086151,0.004610989910720969,gini,5,16,4
39,0.8500499967086151,0.004610989910720969,gini,5,16,16
44,0.8500044910971433,0.006307938655139106,gini,10,16,64
45,0.8500043241806408,0.0045144541728655285,entropy,5,16,4
45,0.8500043241806408,0.0045144541728655285,entropy,5,16,2
45,0.8500043241806408,0.0045144541728655285,entropy,5,16,32
45,0.8500043241806408,0.0045144541728655285,entropy,5,16,8
45,0.8500043241806408,0.0045144541728655285,entropy,5,16,16
50,0.849958641220385,0.0047304545355879345,gini,5,8,32
50,0.849958641220385,0.004568948965454847,entropy,5,8,64
52,0.849867369190406,0.007489688952001982,gini,10,8,64
53,0.8498673065967175,0.004337976439273901,entropy,5,4,32
53,0.8498673065967175,0.004337976439273901,entropy,5,4,16
55,0.8498672961644361,0.0044146241236830384,entropy,5,8,32
55,0.8498672961644361,0.0044146241236830384,entropy,5,8,2
55,0.8498672961644361,0.0044146241236830384,entropy,5,8,8
55,0.8498672961644361,0.0044146241236830384,entropy,5,8,16
55,0.8498672961644361,0.0044146241236830384,entropy,5,8,4
60,0.8498216340687431,0.004359487329188372,entropy,5,2,4
60,0.8498216340687431,0.004359487329188372,entropy,5,2,2
60,0.8498216340687431,0.004359487329188372,entropy,5,1,4
60,0.8498216340687431,0.004359487329188372,entropy,5,2,8
60,0.8498216340687431,0.004359487329188372,entropy,5,1,8
60,0.8498216340687431,0.004359487329188372,entropy,5,1,2
66,0.8498216236364616,0.0043932355980577644,entropy,5,4,2
66,0.8498216236364616,0.0043932355980577644,entropy,5,4,4
66,0.8498216236364616,0.0043932355980577644,entropy,5,4,8
66,0.8498216236364616,0.0043932355980577644,entropy,5,4,64
70,0.8497760345667386,0.005755003209794148,entropy,10,4,32
71,0.8497759511084872,0.004414004564240955,entropy,5,1,32
71,0.8497759511084872,0.004414004564240955,entropy,5,2,32
71,0.8497759511084872,0.004414004564240955,entropy,5,1,16
71,0.8497759511084872,0.004414004564240955,entropy,5,2,16
75,0.8497302681482314,0.004469724630867979,entropy,5,1,64
75,0.8497302681482314,0.004469724630867979,entropy,5,2,64
77,0.8497302472836686,0.005241550704223533,gini,5,8,16
77,0.8497302472836686,0.005241550704223533,gini,5,8,2
77,0.8497302472836686,0.005241550704223533,gini,5,8,8
77,0.8497302472836686,0.005241550704223533,gini,5,8,4
81,0.849456389464606,0.006559372703851841,entropy,10,16,64
82,0.8490909988085292,0.005408884503385208,gini,10,4,32
83,0.8489082043738175,0.006220775000525096,gini,10,4,64
84,0.848908193941536,0.0061128003796610125,entropy,10,4,64
85,0.8488625318458431,0.005940797628531021,gini,10,1,64
86,0.8488168280210242,0.006371219656267686,entropy,10,2,32
87,0.8487254725327942,0.004894984956370285,entropy,10,4,16
88,0.8485885071102779,0.0062575938419941095,gini,10,2,64
89,0.8485884758134337,0.006605406826074228,entropy,10,1,32
90,0.8485429389051173,0.005373054528068944,gini,10,2,32
91,0.8483602592255013,0.0051192231919703485,gini,10,1,32
92,0.8483601757672499,0.006352503562034414,gini,10,8,2
92,0.8483601757672499,0.006352503562034414,gini,10,8,8
92,0.8483601757672499,0.006352503562034414,gini,10,8,16
92,0.8483601757672499,0.006352503562034414,gini,10,8,4
96,0.848131687940001,0.006754749738153846,entropy,10,2,64
97,0.848086025844308,0.005389566885626568,entropy,10,2,16
98,0.8480860049797453,0.00687493792883033,entropy,10,1,64
99,0.848040363748615,0.005348788799558051,entropy,10,1,16
100,0.8476293527259708,0.005714357488227773,gini,10,4,16
101,0.8475837323594033,0.005606349367704249,gini,10,1,16
102,0.8474008648987219,0.005251689136150573,entropy,10,1,2
103,0.8474008127373148,0.005724564932769009,entropy,10,1,8
104,0.8473551923707474,0.005338687331811692,entropy,10,1,4
105,0.8470356411591474,0.0059383471984769025,gini,10,2,16
106,0.8469898121469519,0.005540300505134811,entropy,10,2,2
106,0.8469898121469519,0.005540300505134811,entropy,10,2,4
108,0.8468983523359077,0.005606468061989274,entropy,10,4,2
108,0.8468983523359077,0.005606468061989274,entropy,10,4,4
108,0.8468983523359077,0.005606468061989274,entropy,10,4,8
111,0.8468528571567171,0.005320453312236582,gini,10,4,4
111,0.8468528571567171,0.005320453312236582,gini,10,4,2
111,0.8468528571567171,0.005320453312236582,gini,10,4,8
114,0.8465788428534335,0.0047952148935572975,gini,10,1,2
115,0.8465787385306195,0.005988031056406208,entropy,10,2,8
116,0.8462591351576124,0.0056808567463871515,gini,10,2,8
117,0.846213483494201,0.00499263491089264,gini,10,1,4
118,0.8460307829500218,0.004869605274542611,gini,10,1,8
119,0.8450259560377402,0.005052482706167659,gini,10,2,4
119,0.8450259560377402,0.005052482706167659,gini,10,2,2
121,0.8424680545287003,0.005983833023233388,gini,20,16,64
122,0.8423767199050328,0.006117884196903501,gini,,16,64
122,0.8423767199050328,0.006117884196903501,gini,30,16,64
124,0.8382660150385508,0.004906753942687682,entropy,20,16,64
125,0.8376267665634114,0.006903484714325783,gini,20,8,64
126,0.8372611568294254,0.005663547099917728,entropy,30,16,64
127,0.8372157346762045,0.005763565028941918,gini,20,4,64
128,0.8372154843014507,0.00557775460941516,entropy,,16,64
129,0.837169853502602,0.005629657077188612,entropy,20,4,64
130,0.8369416786437951,0.0064253971306948605,entropy,20,8,64
131,0.8367132012488275,0.006542233906118291,gini,30,8,64
131,0.8367132012488275,0.006542233906118291,gini,,8,64
133,0.8364389678676343,0.00616369337301558,entropy,20,2,64
134,0.8359367161118554,0.00562663288905882,gini,30,4,64
135,0.8358910435838809,0.005594970082199521,gini,,4,64
136,0.8355713463203414,0.0054800799456393165,gini,20,16,8
