date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,manufacturer
2014-01-01,W1F095Q0,ST3000DM001,3000592982016.0,1,,132699352.0,,,,,,0.0,,,,14267.0,,,,,,,,,,,,,,,,22.0,,64.0,,,,,,,,,,,seagate
2014-01-01,W1F096Y9,ST3000DM001,3000592982016.0,1,,125790320.0,,,,,,0.0,,,,13830.0,,,,,,,,,,,,,,,,23.0,,80.0,,,,,,,,,,,seagate
2014-01-01,S1F033XS,ST3000DM001,3000592982016.0,1,,191063384.0,,,,,,64160.0,,,,16089.0,,,,,,,,,,,,,,,,25.0,,584.0,,,,,,,,,,,seagate
2014-01-02,W1F09P6G,ST3000DM001,3000592982016.0,1,,76605568.0,,,,,,0.0,,,,14357.0,,,,,,,,,,,,,,,,24.0,,0.0,,,,,,,,,,,seagate
2014-01-02,Z3000ZV3,ST4000DM000,4000787030016.0,1,,196860952.0,,,,,,0.0,,,,941.0,,,,,,,,,,,,,,,,20.0,,6232.0,,,,,,,,,,,seagate
2014-01-02,Z300H22Q,ST4000DM000,4000787030016.0,1,,190645016.0,,,,,,0.0,,,,1781.0,,,,,,,,,,,,,,,,22.0,,0.0,,,,,,,,,,,seagate
2014-01-02,W1F0R24B,ST3000DM001,3000592982016.0,1,,10943696.0,,,,,,0.0,,,,13144.0,,,,,,,,,,,,,,,,25.0,,65520.0,,,,,,,,,,,seagate
2014-01-02,W1F0918M,ST3000DM001,3000592982016.0,1,,225664680.0,,,,,,0.0,,,,15259.0,,,,,,,,,,,,,,,,24.0,,6.0,,,,,,,,,,,seagate
2014-01-02,Z300HRV7,ST4000DM000,4000787030016.0,1,,15621096.0,,,,,,8816.0,,,,3446.0,,,,,,,,,,,,,,,,22.0,,59328.0,,,,,,,,,,,seagate
2014-01-07,W1F0A24F,ST3000DM001,3000592982016.0,1,,104557776.0,,,,,,0.0,,,,15380.0,,,,,,,,,,,,,,,,24.0,,0.0,,,,,,,,,,,seagate
2014-01-07,S1F06M12,ST3000DM001,3000592982016.0,1,,172316536.0,,,,,,0.0,,,,14308.0,,,,,,,,,,,,,,,,27.0,,0.0,,,,,,,,,,,seagate
2014-01-07,S1F0CVYQ,ST3000DM001,3000592982016.0,1,,201506608.0,,,,,,0.0,,,,13067.0,,,,,,,,,,,,,,,,30.0,,0.0,,,,,,,,,,,seagate
2014-01-07,W30065L7,ST4000DM000,4000787030016.0,1,,197057816.0,,,,,,0.0,,,,3258.0,,,,,,,,,,,,,,,,23.0,,8.0,,,,,,,,,,,seagate
2014-01-07,W1F03ESC,ST3000DM001,3000592982016.0,1,,220611472.0,,,,,,0.0,,,,15844.0,,,,,,,,,,,,,,,,24.0,,0.0,,,,,,,,,,,seagate
2014-01-07,Z3001N58,ST4000DM000,4000787030016.0,1,,94461264.0,,,,,,0.0,,,,5985.0,,,,,,,,,,,,,,,,23.0,,1136.0,,,,,,,,,,,seagate
2014-01-08,W1F0A4GS,ST3000DM001,3000592982016.0,1,,192187328.0,,,,,,0.0,,,,15195.0,,,,,,,,,,,,,,,,23.0,,0.0,,,,,,,,,,,seagate
2014-01-08,S1F0M6C1,ST3000DM001,3000592982016.0,1,,94805144.0,,,,,,616.0,,,,12392.0,,,,,,,,,,,,,,,,26.0,,54.0,,,,,,,,,,,seagate
2014-01-08,W1F0A5V0,ST3000DM001,3000592982016.0,1,,145453888.0,,,,,,0.0,,,,15984.0,,,,,,,,,,,,,,,,23.0,,0.0,,,,,,,,,,,seagate
2014-01-08,S1F02YSF,ST3000DM001,3000592982016.0,1,,190331136.0,,,,,,0.0,,,,16868.0,,,,,,,,,,,,,,,,24.0,,32.0,,,,,,,,,,,seagate
2014-01-09,S1F02YQK,ST3000DM001,3000592982016.0,1,,58095261.0,,,,,,64640.0,,,,16598.0,,,,,,,,,,,,,,,,26.0,,96.0,,,,,,,,,,,seagate
